PNU,주용도코드명,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률(%),건폐율(%)
1171010100101810001,제1종근린생활시설,1004.6,602.09,4409.91,367.82,59.93
1171010100101810017,제1종근린생활시설,1004.6,602.09,4409.91,367.82,59.93
1171010100101810016,제1종근린생활시설,717.6,430.49,4811.4,528.85,59.99
1171010100101810015,제1종근린생활시설,574.2,339.43,4044.29,553.79,59.11
1171010100101810005,업무시설,1007.6,503.46,6987.57,462.13,49.97
1171010100101810013,업무시설,1007.6,503.46,6987.57,462.13,49.97
1171010100101810014,업무시설,1007.6,503.46,6987.57,462.13,49.97
1171010100101810008,제1종근린생활시설,547.1,323.89,3698.9,537.49,59.2
1171010100101810011,제1종근린생활시설,547.1,323.89,3698.9,537.49,59.2
1171010100101830013,제1종근린생활시설,908.9,523.05,4000.31,280.81,57.55
1171010100101830011,제2종근린생활시설,644.1,330.0,1320.0,178.8,51.2
1171010100101830005,업무시설,1193.5,713.25,13182.32,798.64,59.76
1171010100101830010,업무시설,1193.5,713.25,13182.32,798.64,59.76
1171010100101830008,업무시설,547.4,327.98,5131.82,798.14,59.92
1171010100101830014,업무시설,749.2,449.35,7628.0,799.78,59.98
1171010100101830002,업무시설,749.2,449.35,7628.0,799.78,59.98
1171010100101840021,제1종근린생활시설,1176.0,584.22,8492.87,493.32,49.68
1171010100101840019,제1종근린생활시설,426.0,246.16,2789.94,608.37,57.78
1171010100101840006,제1종근린생활시설,0.0,0.0,1661.32,0.0,0.0
1171010100102050019,제1종근린생활시설,0.0,0.0,748.67,0.0,0.0
1171010100101840010,판매시설,0.0,0.0,1292.96,0.0,0.0
1171010100101840013,제2종근린생활시설,623.4,372.4,3723.72,458.87,59.74
1171010100101850010,제1종근린생활시설,710.0,354.1,1532.01,148.21,49.87
1171010100101870011,공동주택,1511.1,1023.49,14219.95,678.0,67.73
1171010100101870017,공동주택,1511.1,1023.49,14219.95,678.0,67.73
1171010100101870018,공동주택,1511.1,1023.49,14219.95,678.0,67.73
1171010100101870019,공동주택,1511.1,1023.49,14219.95,678.0,67.73
1171010100101880008,노유자시설,830.9,477.05,1585.65,139.93,57.41
1171010100101920014,제2종근린생활시설,483.1,284.65,1722.49,271.54,58.92
1171010100101930006,제2종근린생활시설,891.3,443.47,3688.76,294.49,49.75
1171010100101930008,업무시설,583.46,288.3,2133.82,293.38,49.41
1171010100101950002,제2종근린생활시설,429.1,210.6,1325.99,224.64,49.07
1171010100101950004,제2종근린생활시설,549.4,271.03,2139.83,0.0,49.33
1171010100101960021,업무시설,564.9,317.38,2134.84,298.36,56.18
1171010100101960019,업무시설,1712.9,851.95,4717.17,191.35,49.74
1171010100101960020,업무시설,1712.9,851.95,4717.17,191.35,49.74
1171010100101960011,업무시설,1712.9,851.95,4717.17,191.35,49.74
1171010100101960018,업무시설,1712.9,851.95,4717.17,191.35,49.74
1171010100101960010,업무시설,1712.9,851.95,4717.17,191.35,49.74
